Country \ Molecule,Metformin,Imatinib,Sildenafil,Thalidomide,Rapamycin,Doxycycline,Losartan,Naltrexone,Ivermectin,Atorvastatin
India,234.2,173.0,483.1,300.7,433.2,350.4,401.7,471.0,69.1,283.6
USA,209.3,214.9,70.7,175.9,28.5,270.5,372.1,292.8,230.9,42.2
Germany,327.1,457.3,278.1,-12.1,158.0,22.7,-40.9,237.5,450.1,326.4
China,404.6,283.0,47.6,445.9,279.9,432.8,242.3,363.8,1.3,312.7
Brazil,446.1,246.6,-49.3,465.8,323.2,187.3,181.4,431.2,333.7,185.9
UK,466.1,215.2,372.8,142.8,392.5,449.3,410.5,266.9,184.0,90.0
Japan,371.2,450.5,-3.9,279.1,249.1,91.8,-47.0,359.0,-46.1,237.4
South Korea,235.9,156.3,63.0,392.4,174.9,8.6,184.3,272.0,93.7,244.9
Canada,260.6,286.5,495.5,168.6,62.0,253.7,256.7,48.3,257.5,216.1
Australia,493.7,267.7,375.8,169.0,25.9,425.1,15.5,76.4,380.7,472.1
France,5.2,229.6,382.3,390.5,287.7,326.5,-21.4,164.0,299.7,392.4
Italy,402.8,209.4,280.1,-1.5,94.7,154.0,285.0,348.5,461.9,170.4
Netherlands,310.9,107.6,479.9,-18.4,375.5,46.4,221.9,-44.1,417.8,461.9
Switzerland,235.0,57.1,381.2,230.8,334.1,288.4,320.7,147.9,310.3,486.6
Mexico,-2.2,101.8,169.7,318.3,173.0,60.2,-41.5,337.0,455.5,252.3
,,,,,,,,,,
"Values represent net trade balance in USD Millions (positive = net exporter, negative = net importer). Green = strong export opportunity.",,,,,,,,,,
