#,Molecule Name,DrugBank_ID,Therapy Area,Formulation,Patent Status,Launch Year,Primary Indication,Approved Indications (count),Repurposing Opportunity Score (0–10),Top Repurposing Candidate 1,Top Repurposing Candidate 2,Clinical Evidence Level,Orphan Drug Status,Lifecycle Stage,Est. Annual Revenue (USD M),Risk Score,Notes
1,Metformin,DB00331,Diabetes/Metabolic,Oral Tablet,Off-patent,1996,Diabetes/Metabolic — First approved use,5,8.8,Longevity/Anti-aging,Alzheimer's prevention,Strong (RCT),No,Re-launch,"2,182.8",2.3,High repurposing potential identified via clinical gap analysis
2,Imatinib,DB00619,Oncology,Oral Capsule,Off-patent,2021,Oncology — First approved use,5,8.6,IPF (pulmonary fibrosis),Atherosclerosis,Exploratory (In-vitro),No,Growth,508.0,5.1,High repurposing potential identified via clinical gap analysis
3,Sildenafil,DB00203,Cardiovascular,Oral Tablet,Off-patent,2015,Cardiovascular — First approved use,4,7.8,Pulmonary arterial hypertension,Altitude sickness,Strong (RCT),Yes,Re-launch,"2,306.6",2.4,High repurposing potential identified via clinical gap analysis
4,Thalidomide,DB01041,Oncology,Oral Capsule,Off-patent,2010,Oncology — First approved use,6,6.0,Leprosy ENL,HIV wasting,Strong (RCT),Pending,Growth,"5,195.0",3.2,Moderate evidence; further validation required
5,Rapamycin,DB00877,Immunology,Oral Tablet,Off-patent,1995,Immunology — First approved use,5,5.3,Anti-aging / longevity,Autism spectrum disorder,Exploratory (In-vitro),Yes,Emerging,"1,948.7",7.4,Moderate evidence; further validation required
6,Doxycycline,DB00254,Infectious Disease,Oral Capsule,Off-patent,2015,Infectious Disease — First approved use,1,5.1,Rosacea,Periodontitis,Exploratory (In-vitro),Pending,Maturity,"2,516.2",6.4,Moderate evidence; further validation required
7,Losartan,DB00678,Cardiovascular,Oral Tablet,Off-patent,2010,Cardiovascular — First approved use,4,6.7,Marfan syndrome,COVID-19 lung protection,Exploratory (In-vitro),Pending,Maturity,"1,272.2",2.8,Moderate evidence; further validation required
8,Naltrexone,DB00704,CNS/Neurology,Oral Tablet,Off-patent,2023,CNS/Neurology — First approved use,6,7.7,Fibromyalgia (LDN),Crohn's disease (LDN),Strong (RCT),No,Maturity,"6,579.1",7.5,High repurposing potential identified via clinical gap analysis
9,Ivermectin,DB00602,Infectious Disease,Oral Tablet,Off-patent,2003,Infectious Disease — First approved use,5,6.3,Head lice,Rosacea,Preliminary (Case Study),Pending,Growth,"2,572.8",5.6,Moderate evidence; further validation required
10,Atorvastatin,DB01076,Cardiovascular,Oral Tablet,Off-patent,2022,Cardiovascular — First approved use,4,9.8,Sepsis prevention,COVID-19 mortality reduction,Exploratory (In-vitro),Pending,Maturity,"4,142.7",3.8,High repurposing potential identified via clinical gap analysis
11,Rituximab,DB00073,Oncology,IV Infusion,Biosimilar,2009,Oncology — First approved use,4,8.5,TBD,TBD,Moderate (Observational),Pending,Decline,"2,067.9",4.2,High repurposing potential identified via clinical gap analysis
12,Pembrolizumab,DB09037,Oncology,IV Infusion,Patented,1996,Oncology — First approved use,4,9.0,TBD,TBD,Exploratory (In-vitro),Pending,Decline,"7,768.5",4.2,High repurposing potential identified via clinical gap analysis
13,Ozempic/Semaglutide,DB13928,Diabetes/Metabolic,SC Injection,Patented,1999,Diabetes/Metabolic — First approved use,6,9.7,TBD,TBD,Strong (RCT),Yes,Re-launch,"4,294.4",5.6,High repurposing potential identified via clinical gap analysis
14,Dupilumab,DB11699,Immunology,SC Injection,Patented,1998,Immunology — First approved use,4,9.1,TBD,TBD,Exploratory (In-vitro),Yes,Emerging,"6,154.7",4.4,High repurposing potential identified via clinical gap analysis
15,Lecanemab,DB16880,CNS/Neurology,IV Infusion,Patented,1997,CNS/Neurology — First approved use,2,8.0,TBD,TBD,Preliminary (Case Study),No,Re-launch,"5,316.5",4.3,High repurposing potential identified via clinical gap analysis
16,Risdiplam,DB15462,Rare Diseases,Oral Solution,Patented,2022,Rare Diseases — First approved use,3,4.9,TBD,TBD,Exploratory (In-vitro),Yes,Emerging,"8,112.5",5.9,Moderate evidence; further validation required
17,Tezepelumab,DB15687,Respiratory,SC Injection,Patented,2022,Respiratory — First approved use,4,9.2,TBD,TBD,Strong (RCT),Pending,Emerging,628.2,5.9,High repurposing potential identified via clinical gap analysis
18,Faricimab,DB16100,Ophthalmology,Intravitreal,Patented,2018,Ophthalmology — First approved use,2,9.4,TBD,TBD,Exploratory (In-vitro),Yes,Growth,"6,475.1",6.4,High repurposing potential identified via clinical gap analysis
19,Vonoprazan,DB11753,Gastroenterology,Oral Tablet,Patented,2017,Gastroenterology — First approved use,2,5.0,TBD,TBD,Strong (RCT),Yes,Decline,"2,791.0",1.9,Moderate evidence; further validation required
20,Belzutifan,DB16126,Oncology,Oral Tablet,Patented,1999,Oncology — First approved use,4,6.4,TBD,TBD,Exploratory (In-vitro),Pending,Maturity,"5,811.2",2.8,Moderate evidence; further validation required
21,Paracetamol,DB00316,Analgesic/Antipyretic,Oral Tablet,Off-patent,1956,Pain and Fever Relief,2,7.2,Osteoarthritis,Acute Kidney Injury,Moderate (Observational),No,Mature,"1,850.0",3.1,Known globally as Acetaminophen. High repurposing potential.
