#,NCT_ID,Molecule Name,DrugBank_ID,Sponsor,Phase,Status,Indication (Trial),Therapy Area,Enrollment Target,Start Date,Est. Completion Date,Primary Endpoint,Secondary Endpoint,Country,Results Available,Repurposing Trial?,Source
1,NCT41163805,Metformin,DB00331,AbbVie,Phase I,Withdrawn,Diabetes/Metabolic — primary indication,Diabetes/Metabolic,523,Oct-2022,Jan-2026,FEV1 improvement ≥10% from baseline,"Exacerbation rate, CAT score, SGRQ",Germany,No,No,ClinicalTrials.gov_MOCK
2,NCT72445234,Metformin,DB00331,J&J,Terminated,Completed,Alzheimer's prevention,Diabetes/Metabolic,552,Sep-2023,Jun-2024,Viral load reduction (log10) at 48 weeks,"CD4 count, Resistance mutations, Tolerability",Mexico,No,Yes,ClinicalTrials.gov_MOCK
3,NCT66949781,Metformin,DB00331,J&J,Phase II,Recruiting,Polycystic ovary syndrome,Diabetes/Metabolic,737,Apr-2023,Apr-2025,Pain VAS score reduction ≥30%,"PGIC score, Rescue medication use, Fatigue scale",France,No,Yes,ClinicalTrials.gov_MOCK
4,NCT86762164,Imatinib,DB00619,AbbVie,Phase III,"Active, not recruiting",Oncology — primary indication,Oncology,1019,Aug-2020,Jan-2025,ADAS-Cog11 change from baseline,"MMSE, CDR-SB, Amyloid PET clearance",Japan,No,No,ClinicalTrials.gov_MOCK
5,NCT46840133,Imatinib,DB00619,Startup Biotech,Completed,Completed,IPF (pulmonary fibrosis),Oncology,634,Feb-2020,Apr-2026,CDAI remission rate at week 12,"Mayo endoscopic score, CRP, Fecal calprotectin",Japan,Yes,Yes,ClinicalTrials.gov_MOCK
6,NCT40885967,Imatinib,DB00619,Novartis,Terminated,Not yet recruiting,Glioblastoma,Oncology,1047,Sep-2024,Mar-2025,ADAS-Cog11 change from baseline,"MMSE, CDR-SB, Amyloid PET clearance",Netherlands,No,Yes,ClinicalTrials.gov_MOCK
7,NCT28358198,Imatinib,DB00619,Merck,Phase II,Not yet recruiting,Glioblastoma,Oncology,543,Oct-2023,Apr-2026,Progression-Free Survival (PFS),"Duration of Response (DoR), Patient-reported outcomes",France,No,Yes,ClinicalTrials.gov_MOCK
8,NCT87789079,Imatinib,DB00619,Novartis,Terminated,Not yet recruiting,Atherosclerosis,Oncology,662,Jun-2024,Aug-2025,HbA1c reduction from baseline at 26 weeks,"Fasting glucose, Body weight, Lipid profile",India,No,Yes,ClinicalTrials.gov_MOCK
9,NCT82398083,Sildenafil,DB00203,Startup Biotech,Phase III,Completed,Cardiovascular — primary indication,Cardiovascular,880,Dec-2020,Dec-2024,ADAS-Cog11 change from baseline,"MMSE, CDR-SB, Amyloid PET clearance",Germany,No,No,ClinicalTrials.gov_MOCK
10,NCT49613214,Sildenafil,DB00203,AstraZeneca,Completed,Withdrawn,Raynaud's phenomenon,Cardiovascular,366,Jun-2021,Oct-2025,ADAS-Cog11 change from baseline,"MMSE, CDR-SB, Amyloid PET clearance",Netherlands,Yes,Yes,ClinicalTrials.gov_MOCK
11,NCT63339667,Thalidomide,DB01041,Roche,Phase IV,Recruiting,Oncology — primary indication,Oncology,492,Oct-2024,Apr-2026,Viral load reduction (log10) at 48 weeks,"CD4 count, Resistance mutations, Tolerability",Italy,Yes,No,ClinicalTrials.gov_MOCK
12,NCT71040347,Thalidomide,DB01041,AbbVie,Phase III,Recruiting,HIV wasting,Oncology,58,Jun-2021,Dec-2025,Pain VAS score reduction ≥30%,"PGIC score, Rescue medication use, Fatigue scale",USA,No,Yes,ClinicalTrials.gov_MOCK
13,NCT85350823,Rapamycin,DB00877,Pfizer,Terminated,Completed,Immunology — primary indication,Immunology,508,Aug-2022,Jun-2024,ADAS-Cog11 change from baseline,"MMSE, CDR-SB, Amyloid PET clearance",Australia,No,No,ClinicalTrials.gov_MOCK
14,NCT50559278,Rapamycin,DB00877,Academic/NIH,Completed,"Active, not recruiting",Lymphangioleiomyomatosis,Immunology,159,Jul-2023,Sep-2025,SCORAD index reduction at week 16,"IGA score, EASI, DLQI, Pruritus NRS",Mexico,Yes,Yes,ClinicalTrials.gov_MOCK
15,NCT23044889,Rapamycin,DB00877,Novartis,Phase I,"Active, not recruiting",Anti-aging / longevity,Immunology,106,Sep-2021,Oct-2025,Viral load reduction (log10) at 48 weeks,"CD4 count, Resistance mutations, Tolerability",USA,No,Yes,ClinicalTrials.gov_MOCK
16,NCT66254240,Rapamycin,DB00877,J&J,Phase II,Terminated,Lymphangioleiomyomatosis,Immunology,789,Oct-2023,May-2026,HbA1c reduction from baseline at 26 weeks,"Fasting glucose, Body weight, Lipid profile",Canada,No,Yes,ClinicalTrials.gov_MOCK
17,NCT14391105,Rapamycin,DB00877,Pfizer,Phase IV,Not yet recruiting,Lymphangioleiomyomatosis,Immunology,1032,Jun-2023,Jul-2025,ADAS-Cog11 change from baseline,"MMSE, CDR-SB, Amyloid PET clearance",Brazil,Yes,Yes,ClinicalTrials.gov_MOCK
18,NCT83076970,Doxycycline,DB00254,Merck,Phase IV,Terminated,Infectious Disease — primary indication,Infectious Disease,772,Jul-2020,May-2026,ADAS-Cog11 change from baseline,"MMSE, CDR-SB, Amyloid PET clearance",UK,Yes,No,ClinicalTrials.gov_MOCK
19,NCT98955314,Doxycycline,DB00254,AstraZeneca,Phase I,Terminated,Rosacea,Infectious Disease,418,Sep-2020,Sep-2025,CDAI remission rate at week 12,"Mayo endoscopic score, CRP, Fecal calprotectin",USA,No,Yes,ClinicalTrials.gov_MOCK
20,NCT19208698,Doxycycline,DB00254,Sanofi,Phase I,Recruiting,Malaria prophylaxis,Infectious Disease,528,Sep-2020,Dec-2025,LVEF improvement ≥5% at 12 months,"6-min walk distance, BNP levels, Hospitalization rate",China,No,Yes,ClinicalTrials.gov_MOCK
21,NCT82506491,Losartan,DB00678,Roche,Phase II,Completed,Cardiovascular — primary indication,Cardiovascular,35,Jul-2021,Oct-2024,Pain VAS score reduction ≥30%,"PGIC score, Rescue medication use, Fatigue scale",Germany,No,No,ClinicalTrials.gov_MOCK
22,NCT41934639,Losartan,DB00678,Academic/NIH,Phase II,Recruiting,Osteogenesis imperfecta,Cardiovascular,82,Sep-2020,Jun-2024,ADAS-Cog11 change from baseline,"MMSE, CDR-SB, Amyloid PET clearance",UK,No,Yes,ClinicalTrials.gov_MOCK
23,NCT25253751,Losartan,DB00678,AstraZeneca,Phase I,"Active, not recruiting",Osteogenesis imperfecta,Cardiovascular,137,Sep-2020,Aug-2025,Progression-Free Survival (PFS),"Duration of Response (DoR), Patient-reported outcomes",Canada,No,Yes,ClinicalTrials.gov_MOCK
24,NCT92558242,Naltrexone,DB00704,BMS,Phase IV,Completed,CNS/Neurology — primary indication,CNS/Neurology,253,Jul-2022,Oct-2025,Overall Survival (OS) at 24 months,"Quality of Life (EQ-5D), Adverse Events, Biomarker response",China,Yes,No,ClinicalTrials.gov_MOCK
25,NCT18163847,Naltrexone,DB00704,BMS,Terminated,Not yet recruiting,Crohn's disease (LDN),CNS/Neurology,647,Jul-2022,Mar-2026,SCORAD index reduction at week 16,"IGA score, EASI, DLQI, Pruritus NRS",India,No,Yes,ClinicalTrials.gov_MOCK
26,NCT20843514,Naltrexone,DB00704,Pfizer,Phase IV,Not yet recruiting,Crohn's disease (LDN),CNS/Neurology,1034,Dec-2023,Aug-2025,CDAI remission rate at week 12,"Mayo endoscopic score, CRP, Fecal calprotectin",USA,Yes,Yes,ClinicalTrials.gov_MOCK
27,NCT83599154,Naltrexone,DB00704,Roche,Phase II,Recruiting,Multiple sclerosis (LDN),CNS/Neurology,593,Jul-2023,Mar-2026,ADAS-Cog11 change from baseline,"MMSE, CDR-SB, Amyloid PET clearance",Australia,No,Yes,ClinicalTrials.gov_MOCK
28,NCT67740376,Naltrexone,DB00704,BMS,Phase IV,Withdrawn,Fibromyalgia (LDN),CNS/Neurology,633,Jul-2022,Oct-2025,Progression-Free Survival (PFS),"Duration of Response (DoR), Patient-reported outcomes",Australia,Yes,Yes,ClinicalTrials.gov_MOCK
29,NCT65833185,Ivermectin,DB00602,Merck,Phase IV,Terminated,Infectious Disease — primary indication,Infectious Disease,877,Nov-2021,Sep-2025,Progression-Free Survival (PFS),"Duration of Response (DoR), Patient-reported outcomes",Japan,Yes,No,ClinicalTrials.gov_MOCK
30,NCT73655158,Ivermectin,DB00602,Sanofi,Phase III,Terminated,Head lice,Infectious Disease,552,Feb-2022,Nov-2024,Progression-Free Survival (PFS),"Duration of Response (DoR), Patient-reported outcomes",France,No,Yes,ClinicalTrials.gov_MOCK
31,NCT27463800,Ivermectin,DB00602,AbbVie,Phase I,Recruiting,Strongyloidiasis,Infectious Disease,227,Mar-2024,Jun-2025,Overall Survival (OS) at 24 months,"Quality of Life (EQ-5D), Adverse Events, Biomarker response",Netherlands,No,Yes,ClinicalTrials.gov_MOCK
32,NCT66765623,Atorvastatin,DB01076,AbbVie,Terminated,Recruiting,Cardiovascular — primary indication,Cardiovascular,754,Nov-2024,Apr-2026,Overall Survival (OS) at 24 months,"Quality of Life (EQ-5D), Adverse Events, Biomarker response",Netherlands,No,No,ClinicalTrials.gov_MOCK
33,NCT38553319,Atorvastatin,DB01076,AstraZeneca,Phase III,Withdrawn,Sepsis prevention,Cardiovascular,750,Jul-2020,Jan-2026,FEV1 improvement ≥10% from baseline,"Exacerbation rate, CAT score, SGRQ",Canada,No,Yes,ClinicalTrials.gov_MOCK
34,NCT47388792,Atorvastatin,DB01076,Sanofi,Phase II,Recruiting,Multiple sclerosis,Cardiovascular,1169,Jan-2022,Sep-2024,LVEF improvement ≥5% at 12 months,"6-min walk distance, BNP levels, Hospitalization rate",Netherlands,No,Yes,ClinicalTrials.gov_MOCK
35,NCT98292612,Atorvastatin,DB01076,Eli Lilly,Phase IV,Withdrawn,Multiple sclerosis,Cardiovascular,1170,Feb-2020,Feb-2026,Pain VAS score reduction ≥30%,"PGIC score, Rescue medication use, Fatigue scale",Mexico,Yes,Yes,ClinicalTrials.gov_MOCK
