#,DrugBank_ID,Molecule Name,Therapy Area,Formulation,Channel,Month,Units Sold,Avg Unit Price (USD),Revenue (USD),Market Share (%),YoY Growth (%),Country,Data Source Tag
1,DB00331,Metformin,Diabetes/Metabolic,Oral Tablet, PhRetailarmacy,Nov-24,13934,575.36,"8,017,066.24",34.5,-7.3,Germany,IQVIA_MOCK_v1
2,DB00331,Metformin,Diabetes/Metabolic,Oral Tablet,Government/Tender,Feb-24,4405,80.09,"352,796.45",9.9,20.5,India,IQVIA_MOCK_v1
3,DB00331,Metformin,Diabetes/Metabolic,Oral Tablet,Export,Jan-24,71926,356.88,"25,668,950.88",18.0,3.0,China,IQVIA_MOCK_v1
4,DB00331,Metformin,Diabetes/Metabolic,Oral Tablet,Hospital,Dec-24,55892,289.54,"16,182,969.68",7.0,39.7,Germany,IQVIA_MOCK_v1
5,DB00331,Metformin,Diabetes/Metabolic,Oral Tablet,Online Pharmacy,May-24,12656,323.25,"4,091,052.00",14.6,6.6,USA,IQVIA_MOCK_v1
6,DB00331,Metformin,Diabetes/Metabolic,Oral Tablet,Online Pharmacy,Apr-24,60717,456.03,"27,688,773.51",37.5,8.4,India,IQVIA_MOCK_v1
7,DB00619,Imatinib,Oncology,Oral Capsule,Retail Pharmacy,Sep-24,6506,562.24,"3,657,933.44",30.0,41.2,USA,IQVIA_MOCK_v1
8,DB00619,Imatinib,Oncology,Oral Capsule,Retail Pharmacy,May-24,50323,236.64,"11,908,434.72",24.9,7.7,USA,IQVIA_MOCK_v1
9,DB00619,Imatinib,Oncology,Oral Capsule,Online Pharmacy,Nov-24,27960,569.81,"15,931,887.60",27.4,24.9,UK,IQVIA_MOCK_v1
10,DB00619,Imatinib,Oncology,Oral Capsule,Hospital,Oct-24,70510,619.89,"43,708,443.90",7.3,8.5,Germany,IQVIA_MOCK_v1
11,DB00619,Imatinib,Oncology,Oral Capsule,Export,Jun-24,43004,716.5,"30,812,366.00",30.1,0.4,China,IQVIA_MOCK_v1
12,DB00619,Imatinib,Oncology,Oral Capsule,Hospital,Dec-24,53081,227.95,"12,099,813.95",9.1,38.9,UK,IQVIA_MOCK_v1
13,DB00203,Sildenafil,Cardiovascular,Oral Tablet,Government/Tender,Mar-25,19226,225.52,"4,335,847.52",10.4,18.3,South Korea,IQVIA_MOCK_v1
14,DB00203,Sildenafil,Cardiovascular,Oral Tablet,Online Pharmacy,Dec-24,76984,339.79,"26,158,393.36",9.4,41.9,Japan,IQVIA_MOCK_v1
15,DB00203,Sildenafil,Cardiovascular,Oral Tablet,Export,Jun-24,12415,642.54,"7,977,134.10",33.3,-3.7,South Korea,IQVIA_MOCK_v1
16,DB00203,Sildenafil,Cardiovascular,Oral Tablet,Retail Pharmacy,Apr-24,78672,54.47,"4,285,263.84",15.4,41.8,Japan,IQVIA_MOCK_v1
17,DB00203,Sildenafil,Cardiovascular,Oral Tablet,Export,Nov-24,73012,731.73,"53,425,070.76",1.6,26.9,Brazil,IQVIA_MOCK_v1
18,DB00203,Sildenafil,Cardiovascular,Oral Tablet,Export,Aug-24,45087,95.26,"4,294,987.62",17.4,12.5,Brazil,IQVIA_MOCK_v1
19,DB01041,Thalidomide,Oncology,Oral Capsule,Hospital,Dec-24,67040,517.82,"34,714,652.80",6.9,29.2,Brazil,IQVIA_MOCK_v1
20,DB01041,Thalidomide,Oncology,Oral Capsule,Export,Mar-25,79004,275.87,"21,794,833.48",1.9,38.2,India,IQVIA_MOCK_v1
21,DB01041,Thalidomide,Oncology,Oral Capsule,Online Pharmacy,May-24,8092,205.12,"1,659,831.04",22.4,-7.7,China,IQVIA_MOCK_v1
