#,Shipment_ID,Molecule Name,HS Code,Formulation,Exporter Country,Importer Country,Shipment Month,Volume (KG),Unit Value (USD/KG),Total Value (USD),Trade Type,Mode of Transport,Port of Loading,Port of Discharge,Incoterm,Manufacturer,Customs Status,Data Source Tag
1,EXIM-424500,Metformin,3004.90,Oral Tablet,India,South Korea,Jun-24,10161.6,288.85,"2,935,178.16",Export,Rail,JNPT Mumbai,Incheon,DAP,Hikma,Released with Bond,EXIM_MOCK_v1
2,EXIM-269930,Metformin,3004.90,Oral Tablet,Netherlands,Switzerland,Aug-24,13564.4,236.85,"3,212,728.14",Re-export,Courier,Amsterdam Schiphol,Zurich,DDP,Mylan,Cleared,EXIM_MOCK_v1
3,EXIM-398910,Metformin,3004.90,Oral Tablet,Switzerland,China,Jan-25,9089.7,1048.24,"9,528,187.13",Re-export,Air,Geneva,Shanghai,CPT,Teva,Cleared,EXIM_MOCK_v1
4,EXIM-127965,Metformin,3004.90,Oral Tablet,USA,Switzerland,Mar-24,4128.2,1086.84,"4,486,692.89",Re-export,Sea,New York JFK,Zurich,DDP,Aurobindo,Cleared,EXIM_MOCK_v1
5,EXIM-979940,Metformin,3004.90,Oral Tablet,Japan,India,Jul-24,7555,286.75,"2,166,396.25",Import,Air,Osaka Kobe,JNPT Mumbai,EXW,Sun Pharma,Under Review,EXIM_MOCK_v1
6,EXIM-183074,Metformin,3004.90,Oral Tablet,Italy,France,Jun-24,11881.1,169.43,"2,013,014.77",Re-export,Road,Genoa,CDG Paris,DDP,Hikma,Under Review,EXIM_MOCK_v1
7,EXIM-415779,Metformin,3004.90,Oral Tablet,India,UK,Apr-24,12532.7,660.82,"8,281,858.81",Export,Courier,Chennai Sea,Heathrow,DAP,Dr. Reddy's,Cleared,EXIM_MOCK_v1
8,EXIM-117233,Metformin,3004.90,Oral Tablet,USA,India,Apr-24,6326.4,953.71,"6,033,550.94",Import,Rail,Houston,Delhi Air,FOB,Hikma,Cleared,EXIM_MOCK_v1
9,EXIM-796643,Metformin,3004.90,Oral Tablet,France,Canada,Oct-24,3667,176.57,"647,482.19",Re-export,Rail,Marseille,Toronto Pearson,FOB,Aurobindo,Released with Bond,EXIM_MOCK_v1
10,EXIM-766549,Metformin,3004.90,Oral Tablet,France,USA,Sep-24,14621.1,85.88,"1,255,660.07",Re-export,Courier,Marseille,Los Angeles,DAP,Sandoz,Cleared,EXIM_MOCK_v1
11,EXIM-239890,Metformin,3004.90,Oral Tablet,Japan,UK,May-24,11222.4,431.73,"4,845,046.75",Re-export,Air,Tokyo Narita,Felixstowe,EXW,Hetero,Under Review,EXIM_MOCK_v1
12,EXIM-166165,Metformin,3004.90,Oral Tablet,India,Japan,Sep-24,5111.3,773.14,"3,951,750.48",Export,Rail,JNPT Mumbai,Tokyo Narita,CPT,Hetero,Cleared,EXIM_MOCK_v1
13,EXIM-365618,Metformin,3004.90,Oral Tablet,Italy,Switzerland,Aug-24,602.9,245.9,"148,253.11",Re-export,Sea,Genoa,Zurich,FOB,Mylan,Released with Bond,EXIM_MOCK_v1
14,EXIM-558176,Metformin,3004.90,Oral Tablet,India,Switzerland,Nov-24,2907,431.58,"1,254,603.06",Export,Air,JNPT Mumbai,Zurich,CPT,Mylan,Released with Bond,EXIM_MOCK_v1
15,EXIM-940064,Metformin,3004.90,Oral Tablet,Mexico,Japan,Dec-24,6624.1,1147.99,"7,604,400.56",Re-export,Road,Veracruz,Osaka Kobe,CIF,Hikma,Cleared,EXIM_MOCK_v1
16,EXIM-443848,Imatinib,3004.90,Oral Capsule,Italy,Japan,Feb-24,6487.6,1194.14,"7,747,102.66",Re-export,Sea,Milan Malpensa,Tokyo Narita,DAP,Teva,Released with Bond,EXIM_MOCK_v1
17,EXIM-862120,Imatinib,3004.90,Oral Capsule,France,Brazil,May-24,6716.4,862.61,"5,793,633.80",Re-export,Sea,Marseille,Santos,CPT,Teva,Cleared,EXIM_MOCK_v1
